14:19:57,1490206797.0,29.5401,29.558,29.53,29.5364,146800.0
14:24:1,1490207041.0,29.535,29.55,29.53,29.542,167700.0
14:29:2,1490207342.0,29.53,29.54,29.53,29.535,68700.0
14:34:0,1490207640.0,29.5365,29.56,29.53,29.535,185300.0
14:39:1,1490207941.0,29.56,29.56,29.53,29.536,210000.0
14:44:59,1490208299.0,29.55,29.57,29.55,29.56,258600.0
14:49:1,1490208541.0,29.569,29.57,29.55,29.55,120900.0
14:54:4,1490208844.0,29.56,29.59,29.56,29.56,212200.0
14:59:57,1490209197.0,29.565,29.575,29.56,29.565,153300.0
15:4:1,1490209441.0,29.58,29.58,29.56,29.565,181800.0
15:9:59,1490209799.0,29.55,29.58,29.55,29.575,240900.0
15:14:59,1490210099.0,29.55,29.56,29.54,29.55,145500.0
15:19:2,1490210342.0,29.57,29.58,29.55,29.555,428600.0
15:24:59,1490210699.0,29.59,29.61,29.57,29.57,341600.0
15:29:0,1490210940.0,29.5757,29.6,29.57,29.5935,200700.0
15:34:57,1490211297.0,29.56,29.585,29.55,29.57,370200.0
15:39:0,1490211540.0,29.545,29.56,29.54,29.555,251500.0
15:44:1,1490211841.0,29.551,29.58,29.54,29.545,387400.0
15:49:0,1490212140.0,29.57,29.58,29.5525,29.56,362100.0
15:54:0,1490212440.0,29.58,29.6,29.57,29.57,655000.0
15:59:58,1490212798.0,29.53,29.58,29.53,29.57,1666200.0
